"REF_DATE","GEO","DGUID","Population and dwelling counts (13)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Avondale","2021A00051001464","Total private dwellings, 2016","","0","units","0","","7.5","373","","","","0"
"2021","Avondale","2021A00051001464","Total private dwellings percentage change, 2016 to 2021","","0","units","0","","7.6","-7.2","","","","1"
"2021","Avondale","2021A00051001464","Private dwellings occupied by usual residents, 2021","","0","units","0","","7.7","286","","","","0"
"2021","Avondale","2021A00051001464","Private dwellings occupied by usual residents, 2016","","0","units","0","","7.8","294","","","","0"
"2021","Avondale","2021A00051001464","Private dwellings occupied by usual residents percentage change, 2016 to 2021","","0","units","0","","7.9","-2.7","","","","1"
"2021","Avondale","2021A00051001464","Land area in square kilometres, 2021","","0","units","0","","7.10","29.69","","","","2"
"2021","Avondale","2021A00051001464","Population density per square kilometre, 2021","","0","units","0","","7.11","19.7","","","","1"
"2021","Avondale","2021A00051001464","National population rank, 2021","","0","units","0","","7.12","2741","","","","0"
"2021","Avondale","2021A00051001464","Province/territory population rank, 2021","","0","units","0","","7.13","130","","","","0"
"2021","Bauline","2021A00051001512","Population, 2021","","0","units","0","","8.1","412","","","","0"
"2021","Bauline","2021A00051001512","Population, 2016","","0","units","0","","8.2","452","","","","0"
"2021","Bauline","2021A00051001512","Population percentage change, 2016 to 2021","","0","units","0","","8.3","-8.8","","","","1"
"2021","Bauline","2021A00051001512","Total private dwellings, 2021","","0","units","0","","8.4","172","","","","0"
"2021","Bauline","2021A00051001512","Total private dwellings, 2016","","0","units","0","","8.5","174","","","","0"
"2021","Bauline","2021A00051001512","Total private dwellings percentage change, 2016 to 2021","","0","units","0","","8.6","-1.1","","","","1"
"2021","Bauline","2021A00051001512","Private dwellings occupied by usual residents, 2021","","0","units","0","","8.7","161","","","","0"
